"politician","dbpedia","party_label","birthDate","deathDate","successor_label","religion_label","birthplace","nationality_label"
"Abraham A. Ribicoff","http://dbpedia.org/resource/Abraham_A._Ribicoff","Democratic Party (United States)",1910-04-09,1998-02-22,"John N. Dempsey","Judaism","New Britain, Connecticut","United States"
"Abulfaz Elchibey","http://dbpedia.org/resource/Abulfaz_Elchibey","Azerbaijan Popular Front Party",1938-06-07,2000-08-22,"Heydar Aliyev","Shia Islam","Azerbaijan SSR","Azerbaijan"
"Abulfaz Elchibey","http://dbpedia.org/resource/Abulfaz_Elchibey","Azerbaijan Popular Front Party",1938-06-07,2000-08-22,"Heydar Aliyev","Shia Islam","Nakhichevan Autonomous Soviet Socialist Republic","Azerbaijan"
"Abulfaz Elchibey","http://dbpedia.org/resource/Abulfaz_Elchibey","Azerbaijan Popular Front Party",1938-06-07,2000-08-22,"Heydar Aliyev","Shia Islam","Soviet Union","Azerbaijan"
"Abulfaz Elchibey","http://dbpedia.org/resource/Abulfaz_Elchibey","Azerbaijan Popular Front Party",1938-06-07,2000-08-22,"Heydar Aliyev","Shia Islam","Nakhchivan ASSR","Azerbaijan"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Liberal-Conservative Party",1814-05-03,1892-12-14,"Frederick M. Pearson","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Nova Scotia Liberal Party",1814-05-03,1892-12-14,"Frederick M. Pearson","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Nova Scotia Liberal Party",1814-05-03,1892-12-14,"Alexander Morris","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Liberal-Conservative Party",1814-05-03,1892-12-14,"Alexander Morris","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Nova Scotia Liberal Party",1814-05-03,1892-12-14,"Matthew Henry Richey","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Liberal-Conservative Party",1814-05-03,1892-12-14,"Matthew Henry Richey","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Liberal-Conservative Party",1814-05-03,1892-12-14,"William Albert Patterson","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adams George Archibald","http://dbpedia.org/resource/Adams_George_Archibald","Nova Scotia Liberal Party",1814-05-03,1892-12-14,"William Albert Patterson","Church of Scotland","Truro, Nova Scotia","Canadians"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Christian Democrat Party of Chile",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Santiago, Chile","Chile"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Partido Regionalista de los Independientes",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Santiago","Chile"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Christian Democrat Party of Chile",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Chile","Chile"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Partido Regionalista de los Independientes",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Chile","Chile"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Partido Regionalista de los Independientes",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Santiago, Chile","Chile"
"Adolfo Zaldívar","http://dbpedia.org/resource/Adolfo_Zaldívar","Christian Democrat Party of Chile",1943-09-13,2013-02-27,"Patricio Walker","Catholic Church","Santiago","Chile"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Patrick Cooney","Roman Catholic Church","Republic of Ireland","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Patrick Cooney","Roman Catholic Church","Roosky","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Patrick Cooney","Roman Catholic Church","County Roscommon","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"John Bruton","Roman Catholic Church","Republic of Ireland","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"John Bruton","Roman Catholic Church","County Roscommon","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"John Bruton","Roman Catholic Church","Roosky","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Ray Burke (Irish politician)","Roman Catholic Church","Republic of Ireland","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Ray Burke (Irish politician)","Roman Catholic Church","County Roscommon","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Ray Burke (Irish politician)","Roman Catholic Church","Roosky","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Bertie Ahern","Roman Catholic Church","Roosky","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Bertie Ahern","Roman Catholic Church","County Roscommon","Irish people"
"Albert Reynolds","http://dbpedia.org/resource/Albert_Reynolds","Fianna Fáil",1932-11-03,2014-08-21,"Bertie Ahern","Roman Catholic Church","Republic of Ireland","Irish people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Darío Echandía Olaya","Roman Catholic","Colombia","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Darío Echandía Olaya","Roman Catholic","Bogotá","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Darío Echandía Olaya","Roman Catholic","Bogotá, D.C.","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Carlos Dávila","Roman Catholic","Bogotá","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Carlos Dávila","Roman Catholic","Colombia","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Carlos Dávila","Roman Catholic","Bogotá, D.C.","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Guillermo León Valencia Muñóz","Roman Catholic","Bogotá","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Guillermo León Valencia Muñóz","Roman Catholic","Colombia","Colombian people"
"Alberto Lleras Camargo","http://dbpedia.org/resource/Alberto_Lleras_Camargo","Colombian Liberal Party",1906-07-03,1990-01-04,"Guillermo León Valencia Muñóz","Roman Catholic","Bogotá, D.C.","Colombian people"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Giuseppe Pella","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Mario Scelba","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Pietro Nenni","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Pieve Tesino","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Popular Political Union of Trentino",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Independent politician",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","County of Tyrol","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Christian Democracy (Italy)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Austria-Hungary","Italians"
"Alcide De Gasperi","http://dbpedia.org/resource/Alcide_De_Gasperi","Italian People's Party (1919)",1881-04-03,1954-08-19,"Enrico De Nicola","Roman Catholicism","Pieve Tesino","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giovanni Leone","Roman Catholicism","Kingdom of Italy (1861–1946)","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giulio Andreotti","Roman Catholicism","Kingdom of Italy (1861–1946)","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giovanni Leone","Roman Catholicism","Maglie","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giulio Andreotti","Roman Catholicism","Maglie","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giovanni Leone","Roman Catholicism","Apulia","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Giulio Andreotti","Roman Catholicism","Apulia","Italians"
"Aldo Moro","http://dbpedia.org/resource/Aldo_Moro","Christian Democracy (Italy)",1916-09-23,1978-05-09,"Amintore Fanfani","Roman Catholicism","Kingdom of Italy (1861–1946)","Italians"
